Baseline_Model_ID,Context_Length,Metric,BareTorch_Matched_Value,Baseline_Value,BareTorch_Advantage
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Projected_FPS_iphone_16_pro,42.78,40.03,1.07x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16384,Projected_FPS_apple_m3_max,85.56,80.05,1.07x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Prefill_Latency_ms,1389.13,1877.12,+26.00%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Local_GPU_Decode_tok_s,86.44,54.36,1.59x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Active_Cache_MB,408.6,896.0,-54.40%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Projected_FPS_raspberry_pi_5,4.59,4.06,1.13x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Projected_FPS_qualcomm_8_gen3,16.19,14.34,1.13x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Projected_FPS_iphone_16_pro,40.48,35.84,1.13x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,32768,Projected_FPS_apple_m3_max,80.96,71.68,1.13x
google/gemma-2-2b-it,2048,Prefill_Latency_ms,83.2,122.74,+32.21%
google/gemma-2-2b-it,2048,Local_GPU_Decode_tok_s,174.21,42.67,4.08x
google/gemma-2-2b-it,2048,Active_Cache_MB,19.19,208.0,-90.77%
google/gemma-2-2b-it,2048,Projected_FPS_raspberry_pi_5,3.48,3.35,1.04x
google/gemma-2-2b-it,2048,Projected_FPS_qualcomm_8_gen3,12.28,11.83,1.04x
google/gemma-2-2b-it,2048,Projected_FPS_iphone_16_pro,30.71,29.57,1.04x
google/gemma-2-2b-it,2048,Projected_FPS_apple_m3_max,61.42,59.14,1.04x
google/gemma-2-2b-it,4096,Prefill_Latency_ms,162.87,276.07,+41.00%
google/gemma-2-2b-it,4096,Local_GPU_Decode_tok_s,166.58,41.81,3.98x
google/gemma-2-2b-it,4096,Active_Cache_MB,37.94,416.0,-90.88%
google/gemma-2-2b-it,4096,Projected_FPS_raspberry_pi_5,3.47,3.22,1.08x
google/gemma-2-2b-it,4096,Projected_FPS_qualcomm_8_gen3,12.24,11.37,1.08x
google/gemma-2-2b-it,4096,Projected_FPS_iphone_16_pro,30.6,28.43,1.08x
google/gemma-2-2b-it,4096,Projected_FPS_apple_m3_max,61.19,56.86,1.08x
google/gemma-2-2b-it,8192,Prefill_Latency_ms,356.08,665.89,+46.53%
google/gemma-2-2b-it,8192,Local_GPU_Decode_tok_s,150.82,40.6,3.71x
google/gemma-2-2b-it,8192,Active_Cache_MB,75.44,832.0,-90.93%
google/gemma-2-2b-it,8192,Projected_FPS_raspberry_pi_5,3.44,2.99,1.15x
google/gemma-2-2b-it,8192,Projected_FPS_qualcomm_8_gen3,12.15,10.56,1.15x
google/gemma-2-2b-it,8192,Projected_FPS_iphone_16_pro,30.37,26.4,1.15x
google/gemma-2-2b-it,8192,Projected_FPS_apple_m3_max,60.74,52.8,1.15x
google/gemma-2-2b-it,16384,Prefill_Latency_ms,732.97,OOM,N/A
google/gemma-2-2b-it,16384,Local_GPU_Decode_tok_s,128.61,OOM,N/A
google/gemma-2-2b-it,16384,Active_Cache_MB,150.44,OOM,N/A
google/gemma-2-2b-it,16384,Projected_FPS_raspberry_pi_5,3.39,OOM,N/A
google/gemma-2-2b-it,16384,Projected_FPS_qualcomm_8_gen3,11.97,OOM,N/A
google/gemma-2-2b-it,16384,Projected_FPS_iphone_16_pro,29.93,OOM,N/A
google/gemma-2-2b-it,16384,Projected_FPS_apple_m3_max,59.85,OOM,N/A
google/gemma-2-2b-it,32768,Prefill_Latency_ms,OOM,OOM,N/A
google/gemma-2-2b-it,32768,Local_GPU_Decode_tok_s,OOM,OOM,N/A
google/gemma-2-2b-it,32768,Active_Cache_MB,OOM,OOM,N/A
google/gemma-2-2b-it,32768,Projected_FPS_raspberry_pi_5,OOM,OOM,N/A
google/gemma-2-2b-it,32768,Projected_FPS_qualcomm_8_gen3,OOM,OOM,N/A
google/gemma-2-2b-it,32768,Projected_FPS_iphone_16_pro,OOM,OOM,N/A
google/gemma-2-2b-it,32768,Projected_FPS_apple_m3_max,OOM,OOM,N/A
